CODE;SHORTNAME;CLASS;ACCOUNT
BRZL;БурЗолото;TQBR;stock
TGKBP;ТГК-2 ап;TQBR;stock
TGKB;ТГК-2;TQBR;stock
GAZA;ГАЗ ао;TQBR;stock
PMSBP;ПермьЭнС-п;TQBR;stock
KGKC;КурганГКао;TQBR;stock
PMSB;ПермьЭнСб;TQBR;stock
VJGZ;Варьеган;TQBR;stock
RGSS;РГС СК ао;TQBR;stock
KOGK;КоршГОК ао;TQBR;stock
KRSB;Красэсб ао;TQBR;stock
NFAZ;НЕФАЗ;TQBR;stock
BLNG;Белон ао;TQBR;stock
IGSTP;Ижсталь ап;TQBR;stock
YKEN;Якутскэнрг;TQBR;stock
GEMA;iММЦБ ао;TQBR;stock
STSBP;СтаврЭнСбп;TQBR;stock
KUZB;КузнецкийБ;TQBR;stock
KLSB;КалужскСК;TQBR;stock
STSB;СтаврЭнСб;TQBR;stock
MRKY;РоссЮг ао;TQBR;stock
WTCM;ЦМТ ао;TQBR;stock
RDRB;РДБанк ао;TQBR;stock
ZILL;ЗИЛ ао;TQBR;stock
TGKD;Квадра;TQBR;stock
TORS;ТРК ао;TQBR;stock
BISVP;БашИнСв ап;TQBR;stock
VJGZP;Варьеган-п;TQBR;stock
RZSB;РязЭнСб;TQBR;stock
MRSB;МордЭнСб;TQBR;stock
KMTZ;КосогМЗ ао;TQBR;stock
ROST;РОСИНТЕРао;TQBR;stock
RTSBP;ТНСэнРст-п;TQBR;stock
URKZ;УрКузница;TQBR;stock
TASBP;ТамбЭнСб-п;TQBR;stock
ZVEZ;ЗВЕЗДА ао;TQBR;stock
RTSB;ТНСэнРст;TQBR;stock
SLEN;Сахэнер ао;TQBR;stock
HMSG;HMSG-гдр;TQBR;stock
DIOD;ЗаводДИОД;TQBR;stock
RUSI;ИКРУСС-ИНВ;TQBR;stock
NKSH;Нижкамшина;TQBR;stock
IGST;Ижсталь2ао;TQBR;stock
TGKN;ТГК-14;TQBR;stock
KROTP;КрасОкт-1п;TQBR;stock
SAGO;СамарЭн-ао;TQBR;stock
TGKDP;Квадра-п;TQBR;stock
AVAN;Авангрд-ао;TQBR;stock
OMZZP;ОМЗ-ап;TQBR;stock
LVHK;Левенгук;TQBR;stock
CHKZ;ЧКПЗ ао;TQBR;stock
WTCMP;ЦМТ ап;TQBR;stock
KBSB;ТНСэКубань;TQBR;stock
MRKS;РсетСиб ао;TQBR;stock
MISB;ТНСэнМарЭл;TQBR;stock
KRKN;СаратНПЗ;TQBR;stock
NAUK;iНПОНаука;TQBR;stock
ROSB;Росбанк ао;TQBR;stock
KROT;КрасОкт-ао;TQBR;stock
PRMB;Приморье;TQBR;stock
GAZAP;ГАЗ ап;TQBR;stock
VSYD;ВыбСудЗ ао;TQBR;stock
KRKOP;ТКЗКК ап;TQBR;stock
KMEZ;КМЗ;TQBR;stock
ARSA;Арсагера;TQBR;stock
SAGOP;СамарЭн-ап;TQBR;stock
KUBE;РСетКубань;TQBR;stock
KRSBP;Красэсб ап;TQBR;stock
MAGEP;МагадЭн ап;TQBR;stock
VGSBP;ВолгЭнСб-п;TQBR;stock
NNSB;ТНСэнНН ао;TQBR;stock
JNOSP;Слав-ЯНОСп;TQBR;stock
DZRD;ДонскЗР;TQBR;stock
TASB;ТамбЭнСб;TQBR;stock
SAREP;СаратЭн-ап;TQBR;stock
EELT;ЕвроЭлтех;TQBR;stock
LPSB;ЛЭСК ао;TQBR;stock
DZRDP;ДонскЗР п;TQBR;stock
TORSP;ТРК ап;TQBR;stock
JNOS;Славн-ЯНОС;TQBR;stock
TNSE;ТНСэнрг ао;TQBR;stock
ELTZ;Электрцинк;TQBR;stock
ASSB;АстрЭнСб;TQBR;stock
NNSBP;ТНСэнНН ап;TQBR;stock
VSYDP;ВыбСудЗ ап;TQBR;stock
MAGE;МагадЭн ао;TQBR;stock
MGTS;МГТС-5ао;TQBR;stock
PAZA;ПавлАвт ао;TQBR;stock
KTSB;КСБ ао;TQBR;stock
VGSB;ВолгЭнСб;TQBR;stock
MFGSP;Мегион-ап;TQBR;stock
YRSB;ТНСэнЯр;TQBR;stock
KCHE;КамчатЭ ао;TQBR;stock
YRSBP;ТНСэнЯр-п;TQBR;stock
HIMC;Химпром ао;TQBR;stock
NPOF;Физика ао;TQBR;stock
URKA;Уркалий-ао;TQBR;stock
TRFM;ТрансФ ао;TQBR;stock
TRCN;ТрансК ао;TQBR;stock
KRKO;ТКЗКК ао;TQBR;stock
MORI;Морион ао;TQBR;stock
MFGS;Мегион-ао;TQBR;stock
MFON;МегаФон ао;TQBR;stock
KSGR;Кокс ао;TQBR;stock
KCHEP;КамчатЭ ап;TQBR;stock
KTSBP;КСБ ап;TQBR;stock
KZMS;КЗМС ао;TQBR;stock
IRGZ;ИркЭнерго;TQBR;stock
DERZP;Держава ап;TQBR;stock
RTGZ;ГазпРнД ао;TQBR;stock
GTSS;ГЕОТЕК ао;TQBR;stock
GAZC;ГАЗКОН-ао;TQBR;stock
GAZS;ГАЗ-сервис;TQBR;stock
GAZT;ГАЗ-Тек ао;TQBR;stock
BISV;БашИнСв ао;TQBR;stock
ACKO;АСКО ао;TQBR;stock
POGR;Petropavl;TQBR;stock
EM44;EM44-гдр;TQBR;stock
SiU2;Si-9.22;SPBFUT;futures
BRU2;BR-9.22;SPBFUT;futures
BRV2;BR-10.22;SPBFUT;futures
NGQ2;NG-8.22;SPBFUT;futures
NGU2;NG-9.22;SPBFUT;futures
EuU2;Eu-9.22;SPBFUT;futures
RIU2;RTS-9.22;SPBFUT;futures
EDU2;ED-9.22;SPBFUT;futures
GDU2;GOLD-9.22;SPBFUT;futures
SFU2;SPYF-9.22;SPBFUT;futures
SVU2;SILV-9.22;SPBFUT;futures
RMU2;RTSM-9.22;SPBFUT;futures
VBU2;VTBR-9.22;SPBFUT;futures
